PeopleID	FullName	FullNameReversed	VIAFURL	WikipediaURL	WikipediaImageURL
bonneclaud000666	Claude Alexandre de Bonneval, comte de Bonneval	Bonneval, Claude Alexandre de, comte de Bonneval	http://viaf.org/19812753/	http://en.wikipedia.org/wiki/Claude_Alexandre_de_Bonneval	http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Bonneval-pasha.jpg/250px-Bonneval-pasha.jpg
bonnerene0000893	René de Bonneval	Bonneval, René de	http://viaf.org/63849332/		
bonnoetien000968	Étienne Bonnot de Condillac	Bonnot de Condillac, Étienne	http://viaf.org/9844868/	http://en.wikipedia.org/wiki/Étienne_Bonnot_de_Condillac	
bonnogabri023333	Gabriel Bonnot de Mably	Bonnot de Mably, Gabriel	http://viaf.org/84557373/	http://en.wikipedia.org/wiki/Gabriel_Bonnot_de_Mably	http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Gabriel_Bonnot_de_Mably.jpg/225px-Gabriel_Bonnot_de_Mably.jpg
bonstcharl000895	Charles Victor de Bonstetten	Bonstetten, Charles Victor de	http://viaf.org/76366659/	http://en.wikipedia.org/wiki/Charles_Victor_de_Bonstetten	http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Karl_Viktor_von_Bonstetten.jpg/220px-Karl_Viktor_von_Bonstetten.jpg
boothbarto005317	Barton Booth	Booth, Barton	http://viaf.org/37816277/	http://en.wikipedia.org/wiki/Barton_Booth	
boothdavid003771	David Booth	Booth, David	http://viaf.org/18140116/		
bordecharl000358	Charles Bordes	Bordes, Charles	http://viaf.org/4940613/		
borlawilli004947	William Borlase	Borlase, William	http://viaf.org/49563269/	http://en.wikipedia.org/wiki/William_Borlase	
boscafranc005646	Frances Evelyn Boscawen	Boscawen, Frances Evelyn	http://viaf.org/76128858/		
boscoruggi000366	Ruggiero Giuseppe Boscovich	Boscovich, Ruggiero Giuseppe	http://viaf.org/36938235/	http://en.wikipedia.org/wiki/Ru_er_Bo_kovi_	
bossucharl000367	Charles Bossut	Bossut, Charles	http://viaf.org/17320036/	http://en.wikipedia.org/wiki/Charles_Bossut	http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bossut.jpeg/220px-Bossut.jpeg
bosweeuphe004079	Euphemia Boswell	Boswell, Euphemia	http://viaf.org/169625522/		
boswejames000368	James Boswell	Boswell, James	http://viaf.org/64002337/	http://en.wikipedia.org/wiki/James_Boswell	http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/James_Boswell_of_Auchinleck.jpg/275px-James_Boswell_of_Auchinleck.jpg
boudielias024863	Elias Boudinot	Boudinot, Elias	http://viaf.org/47844246/	http://en.wikipedia.org/wiki/Elias_Boudinot	http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Elias_Boudinot.jpg/200px-Elias_Boudinot.jpg
boudielish024662	Elisha Boudinot	Boudinot, Elisha	http://viaf.org/21167035/		
boudihanna024663	Hannah Boudinot	Boudinot, Hannah	http://viaf.org/31093488/		
boudopierr000371	Pierre Jean Boudot	Boudot, Pierre Jean	http://viaf.org/108706/		
bouffstani000900	Stanislas Jean de Boufflers	Boufflers, Stanislas Jean de	http://viaf.org/36941427/	http://en.wikipedia.org/wiki/Stanislas_de_Boufflers	http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Boufflers%2C_Stanislas_de.jpg/250px-Boufflers%2C_Stanislas_de.jpg
bouhijean0000373	Jean Bouhier	Bouhier, Jean	http://viaf.org/34453545/	http://en.wikipedia.org/wiki/Jean_Bouhier_(jurist)	http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Le_pr%C3%A9sident_Bouhier.jpg/200px-Le_pr%C3%A9sident_Bouhier.jpg
boulanicol000374	Nicolas Antoine Boulanger	Boulanger, Nicolas Antoine	http://viaf.org/27061505/	http://en.wikipedia.org/wiki/Nicolas_Antoine_Boulanger	
bouquhenry000380	Henry Bouquet	Bouquet, Henry	http://viaf.org/62359473/	http://en.wikipedia.org/wiki/Henry_Bouquet	http://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Henry_Bouquet.jpg/200px-Henry_Bouquet.jpg
bourblouis000904	Louis Joseph de Bourbon, prince de Condé	Bourbon, Louis Joseph de, prince de Condé	http://viaf.org/76411850/	http://en.wikipedia.org/wiki/Louis_Joseph,_Prince_of_Condé	
bourblouis022970	Louis François de Bourbon, prince de Conti	Bourbon, Louis François de, prince de Conti	http://viaf.org/12404213/	http://en.wikipedia.org/wiki/Louis_François,_Prince_of_Conti	
bourbmarie000905	Marie Anne de Bourbon, princesse de Conti	Bourbon, Marie Anne de, princesse de Conti	http://viaf.org/62859053/	http://en.wikipedia.org/wiki/Marie_Anne_de_Bourbon	http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Marie_Anne_de_Bourbon_par_Rigaud_c.1706.jpg/220px-Marie_Anne_de_Bourbon_par_Rigaud_c.1706.jpg
bourdlouis000383	Louis Henri Bourdelin	Bourdelin, Louis Henri	http://viaf.org/2500260/		
bourecharl000387	Charlotte Bourette	Bourette, Charlotte	http://viaf.org/34588356/		
bourgclaud000388	Claude Bourgelat	Bourgelat, Claude	http://viaf.org/41870201/	http://en.wikipedia.org/wiki/Claude_Bourgelat	http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Bourgelat.png/220px-Bourgelat.png
bourgjeanb000392	Jean Baptiste Bourguignon d'Anville	Bourguignon d'Anville, Jean Baptiste	http://viaf.org/7472342/	http://en.wikipedia.org/wiki/Jean_Baptiste_Bourguignon_d'Anville	http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Jean_Baptiste_d%27Anville.jpg/220px-Jean_Baptiste_d%27Anville.jpg
bourgjeanf000391	Jean François Bourgoing	Bourgoing, Jean François	http://viaf.org/10185732/	http://en.wikipedia.org/wiki/Jean-François_de_Bourgoing	
