PeopleID	FullName	WikipediaURL	VIAFURL	KnowledgeNetwork	SocialNetwork	ProfessionalNetwork	ReligiousNetwork	Gender	Nationality
schmigeorg023114	Georg Ludwig Schmid		http://viaf.org/4996174/	Letters_Literary		Legal		Male	Swiss
schmijohan023113	Johann Friedrich Schmidt				Government	Trade-merchant		Male	German
schmijohan025410	Johann Schmidt					Medical		Male	Polish
schneyder0003993	— Schneyder					Trade-merchant		Male	Russian
schoejohan003113	Johann Daniel Schoepflin		http://viaf.org/34487398/	Letters_Literary, Letters_Antiquarian				Male	German
schoejosef003114	Josef Friedrich Schoepflin					Trade-merchant, Artisan, Publishing		Male	French
schongottl001777	Gottlob Louis von Schönberg, Reichsgraf von Schönberg							Male	German
schotgaspa025322	Rev. Gaspar Schott			Sciences			Clergy	Male	German
schrowilhe025421	Freiherr Wilhelm von Schröder		http://viaf.org/116260567/	Political economy, Sciences_Natural	Government			Male	German
schudbernh024449	Bernhard Jacob Schudt					Legal		Male	German
schuljohan003115	Graf Johann Matthias von Schulenburg	http://en.wikipedia.org/wiki/Johann_Matthias_von_der_Schulenburg	http://viaf.org/22935060/		Elite, Military			Male	Austrian
schuljonat023112	Jonathan Schulthess							Male	Swiss
schurjames024881	James Schureman	http://en.wikipedia.org/wiki/James_Schureman	http://viaf.org/60525622/		Government			Male	American
schwefranc003994	François Xavier Schwediauer		http://viaf.org/100394737/			Medical		Male	Austrian
schwegeorg003116	Georg Wilhelm Schweigger					Finance-banking		Male	German
scieux0000024194	Mme — de Scieux							Female	unknown
scorewilli025124	Rev. William Scoresby			Sciences			Clergy	Male	English
scott00000024039	Mr — Scott							Male	unknown
scottfranc003120	Lady Frances Scott							Female	Scottish
scottgusta024795	Gustavus Scott	http://en.wikipedia.org/wiki/Gustavus_Scott	http://viaf.org/75575549/			Legal		Male	American
scotthenry003121	Henry Scott, 5th duke of Queensberry				Elite			Male	Scottish
scottishme024436	Scottish merchants							Group	Scottish
scottjohn0005565	Dr John Scott							Male	unknown
scottjohn0024340	John Scott, 1st earl of Eldon	http://en.wikipedia.org/wiki/John_Scott,_1st_Earl_of_Eldon	http://viaf.org/20543801/		Government	Legal		Male	English
scottjohn0024416	John Scott		http://viaf.org/7740273/	Letters_Literary		Artist		Male	English
scottsarah005437	Sarah Scott	http://en.wikipedia.org/wiki/Sarah_Scott	http://viaf.org/72292549/	Letters_Literary		Artist		Female	English
scottthoma024914	Thomas Scott	http://en.wikipedia.org/wiki/Thomas_Scott_(politician)	http://viaf.org/90451600/		Government			Male	American
scottwilli004110	Sir William Scott	http://en.wikipedia.org/wiki/William_Scott,_1st_Baron_Stowell	http://viaf.org/35928023/			Legal, Trade-merchant		Male	English
scrafluke0024434						Trade-merchant		Male	
scriblerus005044	Scriblerus Club			Letters_Literary				Group	English
scudajohn0004577	John Scudamore, 1st Viscount Scudamore	http://en.wikipedia.org/wiki/John_Scudamore,_1st_Viscount_Scudamore	http://viaf.org/45170720/		Court, Military, Government			Male	English
scurlalexa005376	Alexander Scurlock							Male	Welsh
scurleliza005377	Mrs Elizabeth Scurlock							Female	English
scurljohn0005378	John Scurlock				Government	Artisan		Male	Welsh
scurljonat005379	Jonathan Scurlock							Male	Welsh
se00000000004982	S. E.							Male	English
seabring00025023	Mrs — Seabring							Female	American
seamawilli025361	Rev. William Seaman			Letters_Literary, Letters_Antiquarian			Clergy	Male	English
seamejames004862	James Seamer					Artisan		Male	English
seckethoma005679	Thomas Secker, archbishop of Canterbury	http://en.wikipedia.org/wiki/Thomas_Secker	http://viaf.org/36950164/				Clergy	Male	English
seconcharl022977	Charles de Secondat, baron de Montesquieu	http://en.wikipedia.org/wiki/Montesquieu	http://viaf.org/27069096/	Letters_Philosophical	Government	Legal		Male	French
secoudanie003122	Daniel François Secousse			Letters_Literary				Male	French
sedaimiche003123	Michel Jean Sedaine	http://en.wikipedia.org/wiki/Michel-Jean_Sedaine	http://viaf.org/73863522/	Letters_Literary		Artist, Cultural		Male	French
